Contents,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,17,ISABELLE ,"2,719",-,+40,,67,ANNA ,827,-4,-33,,,,,,,,,,,
,18,SOPHIA ,"2,661",+9,+70,,68,HOLLIE ,825,+1,+1,,,,,,,,,,,
,19,FREYA ,"2,619",-,+33,,69,BELLA ,823,+35*,+641*,,,,,,,,,,,
,20,DAISY ,"2,458",-5,+27,,70,PAIGE ,811,-7,-24,,,,,,,,,,,
,21,CHARLOTTE ,"2,390",-1,-15,,71,HARRIET ,809,+15,-1,,,,,,,,,,,
,22,MAISIE ,"2,230",-8,+42,,72,ESME ,797,+2,+119*,,,,,,,,,,,
,23,LUCY ,"2,228",-2,-14,,73,ZARA ,790,+3,+31*,,,,,,,,,,,
,24,PHOEBE ,"2,008",+4,+16,,74,LEXIE ,788,-6,+1285*,,,,,,,,,,,
,25,SCARLETT ,"1,987",-1,+131*,,75,WILLOW ,772,+37*,+176*,,,,,,,,,,,
,26,HOLLY ,"1,971",-1,-8,,76,ROSE ,764,+14,+68*,,,,,,,,,,,
,27,LILLY ,"1,950",+12,+240*,,77,MADISON ,760,-10,+13,,,,,,,,,,,
,28,ELLIE ,"1,893",+1,-17,,78,JULIA ,759,-1,+204*,,,,,,,,,,,
,29,MEGAN ,"1,799",-6,-26,,79,ANNABELLE ,758,+10,+89*,,,,,,,,,,,
,30,LAYLA ,"1,780",+14,+184*,,80,ISOBEL ,754,-5,-25,,,,,,,,,,,
,31,LOLA ,"1,777",+2,+220*,,81,NIAMH ,733,-3,-32,,,,,,,,,,,
,32,IMOGEN ,"1,773",-6,+24,,82,MADDISON ,731,-1,+79*,,,,,,,,,,,
,33,EVA ,"1,714",+4,+123*,,83,MARTHA ,723,+2,+71*,,,,,,,,,,,
,34,SUMMER ,"1,711",-4,+115*,,84,SKYE ,717,-11,+58*,,,,,,,,,,,
,35,MILLIE ,"1,641",-3,+6,,85,LAUREN ,710,-15,-78,,,,,,,,,,,
,36,SIENNA ,"1,585",+11,+413*,,86,CAITLIN ,708,-20,-65,,,,,,,,,,,
,37,ALICE ,"1,554",+6,-9,,87,ELSIE ,699,+21*,+540*,,,,,,,,,,,
,38,ABIGAIL ,"1,493",-4,-16,,88,KEIRA ,693,-16,+197*,,,,,,,,,,,
,39,ERIN ,"1,491",-4,+3,,88,REBECCA ,693,-6,-72,,,,,,,,,,,
,40,LACEY ,"1,475",-4,+359*,,90,SARAH ,663,-7,-52,,,,,,,,,,,
,41,HANNAH ,"1,462",-10,-33,,91,HEIDI ,652,+2,+195*,,,,,,,,,,,
,42,JASMINE ,"1,429",-1,-12,,92,ZOE ,649,-8,-49,,,,,,,,,,,
,43,FLORENCE ,"1,406",+11,+123*,,93,MARIA ,628,-2,+12*,,,,,,,,,,,
,44,ELIZABETH ,"1,396",+5,-11,,94,MARYAM ,616,+5,+61*,,,,,,,,,,,
,45,LEXI ,"1,324",+1,+1475*,,95,AISHA ,613,+1,+21*,,,,,,,,,,,
,46,MOLLY ,"1,322",-4,-31,,95,TIA ,613,-16,-42,,,,,,,,,,,
,47,SOFIA ,"1,249",+15,+139*,,97,NICOLE ,605,-5,-52,,,,,,,,,,,
,48,MATILDA ,"1,225",+5,+88*,,98,KAYLA ,604,+21*,+167*,,,,,,,,,,,
,49,EMMA ,"1,221",-1,-29,,99,FRANCESCA ,602,+3*,-23,,,,,,,,,,,
,50,BROOKE ,"1,216",-5,+44,,100,LYDIA ,589,+7*,-41,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,
,These rankings have been produced using the exact spelling of the name given at birth registration. Similar names with different spellings have been counted separately.,,,,,,,,,,,,,,,,,,,,,
,"Births where the name was not stated have been excluded from these figures. Of the 352,939 baby girls in the 2011 dataset, 8 were excluded for this reason.",,,,,,,,,,,,,,,,,,,,,
,The sum of the counts for individual names appearing in Table 2 and Table 3 may not equal the count in Table 1. This is because births where the usual residence of ,,,,,,,,,,,,,,,,,,,,,
,"mother was not stated at the time of registration have been excluded from the counts in Table 2 and Table 3, as well as those whose usual residence is not in England and Wales.",,,,,,,,,,,,,,,,,,,,,
,* denotes new entry to top 100,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Source: Office for National Statistics ,,,,,,,,,,,,,,,,,,,,,
